ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
21502510,1713332,4,4
21503326,1149380,0,0
21603364,40229136,5,6
36002140,4240902,4,4
36156028,1119510,0,0
21502550,967823,4,4
37520732,4057420,2,2
44363228,19019272,2,3
44338036,1738521,0,0
44339384,1115008,0,0
45653104,1125315,0,0
45622868,1153428,0,0
45640608,1125315,0,0
45632212,1119510,0,0
45629756,1174888,0,0
45648308,1177480,0,0
45668660,1551192,2,3
45673976,975125,0,0
45778664,1124957,0,0
45684124,19008572,2,3
45684312,19078924,2,3
45703200,1112807,0,0
45703816,1548195,0,0
46238532,1332419,2,3
45798228,975125,0,0
46296804,1119510,0,0
45688116,1125315,0,0
46293812,1125315,0,0
45796800,1119510,0,0
46307076,1129625,0,0
45896772,19059056,2,3
4024567,28060,5,6
4178818,372328,2,2
21502510,1768849,4,4
21503372,1129625,0,0
21603364,40162520,5,6
35205000,4310024,4,4
36156028,1119510,0,0
21502550,1177480,4,4
37622480,381316,2,2
44363252,40232448,2,3
44338044,1192710,0,0
44339460,1177480,0,0
45652984,1125315,0,0
45622868,1102527,0,0
45640512,1125315,0,0
45632024,1119510,0,0
45629760,1310149,0,0
45648404,1177480,0,0
45668880,40229136,2,3
45673936,975125,0,0
45778880,967823,0,0
45684160,1107882,2,3
45684268,19077344,2,3
45703248,1124957,0,0
45703944,1107830,0,0
46238340,40232448,2,3
45795456,1153428,0,0
46296600,1119510,0,0
45688064,1125315,0,0
46293724,1125315,0,0
45797104,1119510,0,0
46304172,1129625,0,0
45896792,40236824,2,3
4028076,4048171,5,6
4178818,134438,2,2
21502510,1759842,4,4
21503372,975125,0,0
21603364,19133768,5,6
35205040,441267,4,4
36156132,1119510,0,0
36217216,19127922,3,4
40037552,40221416,2,2
44363252,1115171,2,3
45619728,738818,0,0
44339460,1174888,0,0
45653284,1125315,0,0
45622812,1728416,0,0
45640512,1125315,0,0
45634088,1119510,0,0
45629764,1192710,0,0
45648412,1177480,0,0
45668952,19007332,2,3
45674016,975125,0,0
45779076,967823,0,0
45684096,19023398,2,3
45685584,19075600,2,3
45703224,1501700,0,0
45703576,1149196,0,0
46238408,19059056,2,3
45795360,1589505,0,0
46296728,1119510,0,0
45688108,1125315,0,0
46293528,1125315,0,0
45796892,1119510,0,0
46304184,1129625,0,0
45803820,40229136,2,3
4162282,4112343,5,6
4178818,198199,2,2
21502510,1741122,4,4
21503364,975125,0,0
21496206,3049273,4,5
36203068,4156265,4,4
36156000,1119510,0,0
36217216,19128022,3,4
40758296,40758408,2,2
44363144,1154615,2,3
45619792,1310149,0,0
44339460,1129625,0,0
45653300,1125315,0,0
45622824,1713332,0,0
45640520,1125315,0,0
45634228,1119510,0,0
45629740,1729720,0,0
45645152,1177480,0,0
45670292,40173592,2,3
45673896,975125,0,0
45779084,1545958,0,0
45684208,19008572,2,3
45685468,43012036,2,3
45703180,1118084,0,0
45703772,1310149,0,0
46238636,19019272,2,3
45795360,19127890,0,0
46296660,1119510,0,0
45688088,1125315,0,0
46293952,1125315,0,0
45797040,1119510,0,0
